ID,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Meterage_KM,Cylinders,Gear box type,Drive wheels,Doors,Steering wheel,Color,Airbags,Price
45654403,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005,6,Automatic,All Wheel Drive,4,Left-hand drive,Silver,12,13328
44731507,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3,192000,6,Tiptronic,All Wheel Drive,4,Left-hand drive,Black,8,16621
45774419,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,200000,4,Manual,Front,4,Right-hand drive,Black,2,8467
45769185,FORD,Escape,2011,Jeep,Yes,Hybrid,2.5,168966,4,Automatic,All Wheel Drive,4,Left-hand drive,White,0,3607
45809263,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901,4,Automatic,Front,4,Left-hand drive,Silver,4,11726
45802912,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,160931,4,Automatic,Front,4,Left-hand drive,White,4,39493
45656768,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,258909,4,Automatic,Front,4,Left-hand drive,White,12,1803
45816158,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,216118,4,Automatic,Front,4,Left-hand drive,Grey,12,549
45641395,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069,4,Automatic,Front,4,Left-hand drive,Black,12,1098
45756839,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500,6,Automatic,All Wheel Drive,4,Left-hand drive,Silver,12,26657
45621750,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,184467,6,Automatic,Rear,4,Left-hand drive,White,12,941
45814819,FORD,Transit,1999,Microbus,No,CNG,4,0,8,Manual,Rear,2,Left-hand drive,Blue,0,8781
45815568,OPEL,Vectra,1997,Pickup,No,CNG,1.6,350000,4,Manual,Front,4,Left-hand drive,White,4,3000
45661288,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038,6,Automatic,Front,4,Left-hand drive,White,12,1019
45732604,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,76000,4,Automatic,Front,4,Left-hand drive,White,4,59464
45465200,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2,74146,4,Automatic,Front,4,Left-hand drive,White,12,549
45772281,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840,4,Automatic,Front,4,Left-hand drive,Blue,12,7683
45797221,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317,4,Automatic,Front,4,Left-hand drive,White,4,28382
45772104,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,3.3,295059,6,Automatic,Rear,4,Left-hand drive,Blue,12,549
45653306,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,364523,6,Automatic,All Wheel Drive,4,Left-hand drive,Black,12,941
45801686,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645,4,Automatic,Front,4,Left-hand drive,Silver,4,18826
45168471,TOYOTA,Prius,2012,Sedan,Yes,Hybrid,1.8,187000,4,Automatic,Front,4,Left-hand drive,White,12,20698
45751951,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709,4,Automatic,Front,4,Left-hand drive,Black,12,17562
45814106,FORD,Transit,2001,Microbus,No,Diesel,2.0 Turbo,230000,4,Manual,Front,2,Left-hand drive,White,0,7840
45813492,OPEL,Vectra,1995,Sedan,No,Petrol,1.8,0,4,Automatic,Front,4,Left-hand drive,Green,4,4704
45782859,MERCEDES-BENZ,E 220,2006,Sedan,Yes,Diesel,2.2 Turbo,210000,4,Tiptronic,Rear,4,Left-hand drive,Black,8,20385
45759112,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,0,8,Automatic,All Wheel Drive,4,Left-hand drive,White,0,549
45804684,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.5,169000,4,Automatic,Front,4,Left-hand drive,White,8,30
45801525,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,158787,4,Automatic,Front,4,Left-hand drive,Silver,4,14454
45768550,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550,6,Automatic,All Wheel Drive,4,Left-hand drive,Blue,12,12074
44944581,MERCEDES-BENZ,Vito,2007,Pickup,No,Diesel,2.0 Turbo,180000,6,Manual,Rear,4,Left-hand drive,White,4,15681
45760983,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3,175056,6,Automatic,All Wheel Drive,4,Left-hand drive,White,12,19444
45790136,BMW,X5,2000,Jeep,Yes,CNG,4.4,200000,8,Automatic,All Wheel Drive,4,Left-hand drive,Silver,6,6899
45770026,TOYOTA,Highlander,2008,Sedan,Yes,Hybrid,3.3,287274,6,Automatic,All Wheel Drive,4,Left-hand drive,White,12,125
45542380,JEEP,Grand Cherokee,2007,Jeep,Yes,Diesel,3.0 Turbo,250000,6,Tiptronic,All Wheel Drive,4,Left-hand drive,Black,10,24462
45732374,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2,162000,4,Automatic,Front,4,Left-hand drive,Grey,4,23235
45369569,TOYOTA,CHR Limited,2019,Jeep,No,Petrol,2,10200,4,Tiptronic,Front,4,Left-hand drive,Red,12,51746
45642526,HONDA,FIT,2010,Hatchback,No,Hybrid,1.3,158000,4,Automatic,Front,4,Right-hand drive,Black,4,7527
45801668,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490,4,Automatic,Front,4,Left-hand drive,Silver,4,19121
